Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",18.5000,54.2500,-90.0000,top
"C2","100nF","C_0402_1005Metric",33.5000,13.7500,0.0000,top
"C3","100nF","C_0402_1005Metric",19.0000,21.0000,180.0000,top
"C4","100nF","C_0402_1005Metric",20.9800,21.0000,180.0000,top
"C5","100nF","C_0402_1005Metric",22.9800,21.0000,180.0000,top
"C6","100nF","C_0402_1005Metric",27.9800,28.5000,0.0000,top
"C7","100nF","C_0402_1005Metric",32.7500,10.2500,0.0000,top
"C8","2.2uF","C_0402_1005Metric",25.0000,52.2700,-90.0000,top
"C9","100nF","C_0402_1005Metric",24.5000,31.0000,0.0000,top
"C10","2.2uF","C_0402_1005Metric",34.0000,51.9000,0.0000,top
"C11","22uF","C_0402_1005Metric",17.0000,27.5000,180.0000,top
"C12","100nF","C_0402_1005Metric",17.0000,28.5000,180.0000,top
"C13","47pF","C_0402_1005Metric",17.0000,29.5000,180.0000,top
"C14","22uF","C_0402_1005Metric",21.2700,31.0000,0.0000,top
"C15","8pF","C_0402_1005Metric",30.2500,31.0000,90.0000,top
"C16","100nF","C_0402_1005Metric",28.2500,26.5000,0.0000,top
"C17","100nF","C_0402_1005Metric",29.7500,16.0000,180.0000,top
"C18","10uF","C_0402_1005Metric",29.7500,15.0000,180.0000,top
"C19","100nF","C_0402_1005Metric",29.7500,10.7500,0.0000,top
"C20","22uF","C_0402_1005Metric",29.7500,9.7500,0.0000,top
"C21","100nF","C_0402_1005Metric",29.7700,11.7500,0.0000,top
"C22","4.7uF","C_0402_1005Metric",29.7500,12.7500,0.0000,top
"C23","8pF","C_0402_1005Metric",28.0200,33.5000,0.0000,top
"C24","100nF","C_0402_1005Metric",28.2700,25.5000,0.0000,top
"D2","RED","LED_0402_1005Metric",5.2500,31.7500,0.0000,top
"D3","AMBER","LED_0402_1005Metric",28.0050,24.2500,0.0000,top
"D4","GREEN","LED_0402_1005Metric",28.0000,23.2500,0.0000,top
"D5","RED","LED_0402_1005Metric",14.0000,7.7500,180.0000,top
"D6","RED","LED_0402_1005Metric",34.0000,50.8000,180.0000,top
"D7","NSR05F40NXT5G","D_0402_1005Metric",44.0000,21.0000,-90.0000,top
"F1","500mA","Fuse_0402_1005Metric",26.0000,55.2500,90.0000,top
"FB1","~","L_0402_1005Metric",25.5000,53.7500,180.0000,top
"IC1","LPC5526JEV98","BGA98C50P13X13_700X700X97N",22.5000,26.0000,180.0000,top
"J2","Side","JST_SH_BM05B-SRSS-TB_1x05-1MP_P1.00mm_Vertical",11.7500,22.7500,90.0000,top
"J4","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",35.7500,5.5000,90.0000,top
"L1","4u7H","R_0603_1608Metric",17.5000,32.0000,90.0000,top
"R1","100k","R_0402_1005Metric",17.5000,54.2500,-90.0000,top
"R2","5.1k","R_0402_1005Metric",25.0000,55.2500,90.0000,top
"R3","5.1k","R_0402_1005Metric",19.5000,54.2500,90.0000,top
"R4","10k","R_0402_1005Metric",7.2500,31.7500,180.0000,top
"R5","10k","R_0402_1005Metric",30.0100,24.2500,180.0000,top
"R6","10k","R_0402_1005Metric",30.0000,23.2500,180.0000,top
"R7","10k","R_0402_1005Metric",11.9900,7.7500,0.0000,top
"R8","10k","R_0402_1005Metric",14.7500,13.5000,0.0000,top
"R13","10k","R_0402_1005Metric",31.9000,50.8000,0.0000,top
"SW4","PTS810","SW_SPST_PTS810",37.7500,17.5000,180.0000,top
"U3","TCR2LE19,LM(CT","SOT-553",33.0000,12.0000,-90.0000,top
"Y1","XRCGB16M000FXN16R0","Crystal_SMD_2016-4Pin_2.0x1.6mm",28.3000,31.4500,90.0000,top
